STATE,COVID-19 CASES
AK,408
AL,13938
AR,5612
AZ,16039
CA,90631
CO,23487
CT,40022
DC,7966
DE,8690
FL,50127
GA,42132
HI,642
IA,16893
ID,2595
IL,107796
IN,30901
KS,8958
KY,8426
LA,37040
MA,91662
MD,45495
ME,2013
MI,54365
MN,19845
MO,11752
MS,13005
MT,479
NC,22725
ND,2365
NE,11662
NH,4089
NJ,153104
NM,6625
NV,7696
NY,359926
OH,31408
OK,5960
OR,3888
PA,66983
RI,13952
SC,9895
SD,4468
TN,19789
TX,53449
UT,8260
VA,35749
VT,954
WA,19265
WI,14877
WV,1717
WY,813
PR,3100
AS,0
GU,165
MP,22
VI,69
