Day,Control,Coneflower,Oregano,Soap
Day 1,1.28,1.22,1.43,2.47
Day 2,1.17,1.07,1.33,2.23
Day 3,1.03,0.97,1.20,2.23
Day 4,0.98,0.88,1.12,2.14
Day 5,0.92,0.83,1.04,2.01
Day 6,0.86,0.77,0.98,1.94
Day 7,0.82,0.72,0.93,1.88
